abba|babba
ghostchaser|ghostchaser
ghostsngoblins|ghostsngoblins
ghoulsnghosts|ghoulsnghosts
giddyiiheroinaneggshell|giddy2heroinaneggshell
giganoid|giganoid
gladiators|gladiators
globalgladiators|globalgladiators
globaltrek|globaltrek
globdule|globdule
globulus|globulus
glocr360|glocr360
gloom|gloom
gnius|gnius
gnomealone|gnomealone
gnomeranger|gnomeranger
gnome|gnome
goal|goal
gobliiins|gobliiins
gobliins2theprincebuffoon|gobliins2
goblins3|goblins3
godfather|godfather
gods|gods
goldenaxe|goldenaxe
goldeneagle|goldeneagle
goldenpath|goldenpath
goldoftheaztecs|goldoftheaztecs
goldoftheaztecs|goldoftheaztecsv11kernalversion11lha
goldrunneriiscenerydisks|goldrunner2scenerydisks
goldrunnerii|goldrunner2
goldrunner|goldrunner
goldrush|goldrush
goofysrailwayexpress|goofysrailwayexpress
graemesounesssoccermanager|graemesounesssoccermanager
graemesounessvectorsoccer|graemesounessvectorsoccer
grahamgoochssecondinnings|grahamgoochsecondinnings
grahamgoochworldclasscrickettestmatchspecialedition|grahamgoochworldclasscricketspecialedition
grahamgoochworldclasscricket|grahamgoochworldclasscricket
grahamtaylorssoccerchallenge|grahamtaylorssoccerchallenge
grandmonsterslam|grandmonsterslam
grandprix5002|grandprix5002
grandprixcircuit|grandprixcircuit
grandprixmaster|grandprixmaster
grannysgarden|grannysgarden
gravityforce|gravityforce
gravity|gravity
greatcourts2|greatcourts2
greatcourts|greatcourts
greatgianasisters|greatgianasisters
gremlins2thenewbatch|gremlins2
gridiron|gridiron
gridstart|gridstart
guardianangel|guardianangel
guardian|guardian
guildofthieves|guildofthieves
guldkornexpressen|guldkornexpressen
gunboatrivercombatsimulation|gunboat
gunship2000|gunship2000
gunship|gunship
gunshoot|gunshoot
guyspyandthecrystalsofarmageddon|guyspy
hackeriithedoomsdaypapers|hacker2
hacker|hacker
hagarthehorrible|hagarthehorrible
hagar|hagarthehorrible
halleyprojectamissioninoursolarsystem|halleyproject
hammerboy|hammerboy
hammerfist|hammerfist
hansedieexpedition|hanse
haraldhårdtandikampenomderenetænder|haraldhaardtand
hardballii|hardball2
hardball|hardball
harddriviniidriveharder|harddrivin2
harddrivin|harddrivin
hardnheavy|hardnheavy
harlequin|harlequin
harleydavidsontheroadtosturgis|harleydavidson
harpoonbattleset1greenlandicelandukgap|harpoonbattleset1
harpoonbattleset2thenorthatlanticconvoys|harpoonbattleset2
harpoonbattleset3themedconflict|harpoonbattleset3
harpoonbattleset4theindianocean|harpoonbattleset4
harriercombatsimulator|harriercombatsimulator
hatehostileallterrainencounter|hate
hawkeye|hawkeye
hawkwind|venomwing
headoverheels|headoverheels
heartofchina|heartofchina
heartofthedragon|heartofthedragon
heavymetalheroes|heavymetalheroes
heavymetal|heavymetal
heimdall2|heimdall2
heimdall|heimdall
hellbent|hellbent
hellfireattack|hellfireattack
hellowoondasgeheimnisdeszauberstabs|hellowoon
hellraider|hellraider
hellraiser|hellraisers
hellrunmachine|hellrunmachine
helterskelter|helterskelter
heroesofthelance|heroesofthelance
heroquestiilegacyofsorasil|heroquest2
heroquestreturnofthewitchlord|heroquestreturnofthewitchlord
heroquest|heroquest
herosquestsoyouwanttobeahero|questforglory
hexumadasaugedeskal|hexuma
highseastrader|highseastrader
highsteel|highsteel
highwayhawks|highwayhawks
highwaypatrol2|highwaypatrol2
hillstreetblues|hillstreetblues
hiltagainstthehoardes|hilt
hiltii|hilt2
hiredguns|hiredguns
hiredguns|historyline
historyline19141918|historyline
hitchhikersguidetothegalaxy|hitchhikersguidetothegalaxy
holeinoneminiaturegolfdatadisks|holeinonedatadisks
holeinoneminiaturegolf|holeinone
holidaylemmings1993|lemmingsholiday1993
holidaylemmings1994|lemmingsholiday1994
holidaymaker|holidaymaker
hollywoodpokerpro|hollywoodpokerpro
hollywoodpoker|hollywoodpoker
homealone|homealone
hongkongphooey|hongkongphooey
hook|hook
horrorzombiesfromthecrypt|horrorzombiesfromthecrypt
hostages|hostages
hostilebreed|hostilebreed
hotrod|hotrod
hotrubber|hotrubber
hotshot|hotshot
houndofshadow|houndofshadow
huckleberryhoundinhollywoodcapers|huckleberryhound
hudsonhawk|hudsonhawk
hugopanyeeventyr2|hugo2
hugopanyeeventyr|hugo1
hugo|hugo
humankillingmachine|humankillingmachine
humanracethejurassiclevels|humans2
humansiiievolutionlostintime|humans3
humans|humans
hunter|hunter
huntforredoctoberthemovie|huntforredoctoberthemovie
huntforredoctober|huntforredoctober
hybris|hybris
hydra|hydra
hyperdome|hyperdome
hyperion|hyperion
ianbothamscricket|ianbothamscricket
icerunner|icerunner
ik+|ik+
ikariwarriors|ikariwarriors
ilyad|ilyad
immortal|immortal
impact95|impact95
impact|impact
imperium|imperium
impossamole|impossamole
impossiblemission2025thespecialedition|impossiblemission2025
impossiblemissionii|impossiblemission2
incrediblecrashdummies|incrediblecrashdummies
indianajonesandthefateofatlantisagraphicadventure|indianajonesthefateofatlantisadventure
indianajonesandthefateofatlantiseingrafikadventure|indianajonesthefateofatlantisadventure
indianajonesandthefateofatlantistheactiongame|indianajonesthefateofatlantisaction
indianajonesandthelastcrusadedasgraphicadventure|indianajonesthelastcrusadeadventure
indianajonesandthelastcrusadetheactiongame|indianajonesthelastcrusadeaction
indianajonesandthelastcrusadethegraphicadventure|indianajonesthelastcrusadeadventure
indianajonesandthetempleofdoom|indianajonesthetempleofdoom
indianapolis500thesimulation|indianapolis500
indigo|indigo
indoorsportsvolume1|indoorsports
indyheat|indyheat
inertiadrive|inertiadrive
infection|infection
infestation|infestation
ingridsback|ingridsback
innocentuntilcaught|innocentuntilcaught
insanityfight|insanityfight
insectorhectiintheinterchange|insectorhectiintheinterchange
insectsinspace|insectsinspace
intact|intact
international3dtennis|international3dtennis
internationalicehockey|internationalicehockey
internationalninjarabbits|internationalninjarabbits
internationalsoccer|internationalsoccer
internationalsportschallenge|internationalsportschallenge
internationaltennis|internationaltennis
internationaltruckracing|internationaltruckracing
interphase|interphase
intotheeaglesnest|intotheeaglesnest
invasion|invasion
inve$t|invest
ironlord|ironlord
irontrackers|irontrackers
ishar2messengersofdoom|ishar2
ishar3thesevengatesofinfinity|ishar3
isharlegendofthefortress|ishar
ishidothewayofstones|ishido
islandoflosthope|islandoflosthope
issincredibleshrinkingsphere|iss
italia1990|italia1990
italy1990winnersedition|italy1990winnersedition
italy1990|italy1990
itcamefromthedesert|itcamefromthedesert
ivanhoe|ivanhoe
ivanironmanstewartssuperoffroad|superoffroad
jabatovsimperiolibertad|jabato
jaguarxj220|jaguarxj220
jahangirkhanworldchampionshipsquash|jahangirkhansworldchampionshipsquash
jamesbondthestealthaffair|jamesbondthestealthaffair
jamespond3operationstarfish|jamespond3
jamespond3operationstarfish|jamespond3v102cd32lha
jamespondiicodenamerobocod|jamespond2
jamespondunderwateragent|jamespond
jaws|jaws
jethawaiianscenerydisk|jethawaiianscenerydisk
jetjapanscenerydisk|jetscenerydisk13
jetscenerydisk11|jetscenerydisk11
jetscenerydisk12|jetscenerydisk12
jetscenerydisk7|jetscenerydisk07
jetscenerydisk9|jetscenerydisk09
jetsetwillyii|jetsetwilly2v050111115lha
jetsonsthecomputergame|jetsonsthecomputergame
jetstrike|jetstrike
jetwesterneuropeantourscenerydisk|jetscenerydisk14
jet|jet
jewelsofdarkness|jewelsofdarkness
jimmysfantasticjourney|jimmysfantasticjourney
jimmywhiteswhirlwindsnooker|jimmywhiteswhirlwindsnooker
jimmywillburnealarecherchedupeigneperdu|jimmywillburne
jimpowerinmutantplanet|jimpower
jinks|jinks
jinxter|jinxter
jockywilsonsdartschallenge|jockywilsonsdartschallenge
joeblade2|joeblade2
joeblade|joeblade
joemaccavemanninja|joemaccavemanninja
johnbarneseuropeanfootball|johnbarneseuropeanfootball
johnlowesultimatedarts|johnlowesultimatedarts
johnmaddenfootball|johnmaddenfootball
jonathan|jonathan
journeythequestbegins|journeythequestbegins
jouster3|jouster3
judgedredd|judgedredd
jug|jug
jumpingjackson|jumpingjackson
jumpnroll|jumpnroll
junglestrike|junglestrike
juniortypist|juniortypist
jupiterprobe|jupiterprobe
jupitersmasterdrive|jupitersmasterdrive
jurassicpark|jurassicpark
k240|k240
kaiser|kaiser
kajkoikokosz|kajkoikokosz
kalaspuffsexpressen|kalaspuffsexpressen
kamikaze|kamikaze
karatekidpartii|karatekid2
karateking|karatekingcitydefence
kartinggrandprix|kartinggrandprix
katakis|katakis
kathedrale,die|kathedrale
keefthethiefaboyandhislockpick|keefthethief
kellyx|kellyx
kennedyapproach|kennedyapproach
keystomaramon|keystomaramon
kgb|kgb
khalaan|khalaan
kickoff+extratime|kickoffextratime
kickoff2+worldcup90|kickoff2plusworldcup90
kickoff2competitionversion|kickoff2competitionversion
kickoff2returntoeurope|kickoff2returntoeurope
kickoff2thefinalwhistlecompetitionversion|kickoff2finalwhistlecompetitionversion
kickoff2thefinalwhistle|kickoff2finalwhistle
kickoff2|kickoff2
kickoff2|kickoff216
kickoff3europeanchallenge|kickoff3europeanchallenge
kickoff3|kickoff3
kickoff96|kickoff96
kickoff|kickoff
kidchaos|kidchaos
kidglovesiithejourneyback|kidgloves2
kidgloves|kidgloves
kikstart2|kikstart2
kikugi|kikugi
killerball|killerball
killingcloud|killingcloud
killinggameshow|killinggameshow
killingmachine|killingmachine
kinderamafiveearlylearninggames|kinderama
kingmakerthequestforthecrown|kingmakerquestforthecrown
kingofchicago|kingofchicago
kingpinarcadesportsbowling|kingpin
kingsbounty|kingsbounty
kingsquestiiitoheirishuman|kingsquest3
kingsquestiiromancingthethrone|kingsquest2
kingsquestiquestforthecrown|kingsquestenhanced
kingsquestivtheperilsofrosella|kingsquest4
kingsquestquestforthecrown|kingsquest
kingsquestvabsencemakestheheartgoyonder|kingsquest5
kingsquestviheirtoday,gonetomorrow|kingsquest6
kirosquest|kirosquest
klax|klax
knightforce|knightforce
knightmare|knightmare
knightorc|knightorc
knightsofthecrystallion|knightsofthecrystallion
knightsofthesky|knightsofthesky
kristal|kristal
krustysfunhouse|krustyssuperfunhouse
kryptonegg|kryptonegg
kultthetempleofflyingsaucers|kult
kwasimodo|kwasimodo
kwatermaster|skautkwatermaster
kwiksnax|kwiksnax
labyrintheauxmillecalculs,le|labyrintheauxmillecalculs
labyrinthedanglomania2,le|labyrinthedanglomania2
labyrinthedanglomania|labyrinthedanglomania1
labyrinthedelareinedesombres,le|labyrinthedelareinedesombres
labyrinthedelexicos,le|labyrinthedelexicos
labyrinthederrare,le|labyrinthederrare
labyrinthedorthophus,le|labyrinthedorthophus
labyrinth|labyrinth
lamborghiniamericanchallenge|lamborghiniamericanchallenge
lancelot|lancelot
landsitzvonmortville,der|landsitzvonmortville
lasersquad|lasersquad
lastactionhero|lastactionhero
lastbattle|lastbattle
lastduel|lastduel
lastninja2backwithavengeance|lastninja2
lastninja3|lastninja3
lastsoldier|lastsoldier
leaderboardtournamentdisk1|leaderboardtournamentdisk1
leaderboard|leaderboard
leadinglap|leadinglapmpv
leander|leander
leatherneck|leatherneck
leavinteramis|leavinteramis
ledstorm|ledstorm
legacy|legacy
legendofdjel|legendofdjel
legendoffaerghail|legendoffaerghail
legendofkyrandiabookone|legendofkyrandia
legendofragnarok|legendofragnarok
legendofrobinhoodconquestsofthelongbow|conquestsofthelongbow
legendofthelost|legendofthelost
legendofthesword|legendofthesword
legendsofvalourvolume1thedawning|legendsofvalour
legendsofvalour|legendsofvalour
legends|legends
legend|legend
legion|legion
leisuresuitlarry1inthelandoftheloungelizards|leisuresuitlarryenhanced
leisuresuitlarry5passionatepattidoesalittleundercoverwork|leisuresuitlarry5
leisuresuitlarry5passionatepattimachtbeimgeheimdienstmit|leisuresuitlarry5
leisuresuitlarryiiipassionatepattiinpursuitofthepulsatingpectorals|leisuresuitlarry3
leisuresuitlarryiileisuresuitlarrygoeslookingforlove|leisuresuitlarry2
leisuresuitlarryinthelandoftheloungelizards|leisuresuitlarry
lemmings2thetribes|lemmings2
lemmings|lemmings
leonardo|leonardo
lesmanleyinsearchfortheking|lesmanleyinsearchfortheking
lethalweapon|lethalweapon
lethalxcesswingsofdeathii|lethalxcess
lethalzone|lethalzone
lettrix|lettrix
leviathan|leviathan
licencetokill|licencetokill
lifedeath|lifedeath
lightcorridor|lightcorridor
lightracer|lightracer
limesandnapoleon|limesnapoleon
lineoffire|lineoffire
linksthechallengeofgolfdatadisks|linksdatadisks
linksthechallengeofgolf|links
lionheart|lionheart
lionking|lionking
liquidkids|liquidkids
littlecomputerpeople|littlecomputerpeople
littlepuffindragonland|littlepuffindragonland
liveandletdie|liveandletdie
livingstoneii|livingstone2
llamatron2112|llamatron
locomotion|locomotion
logcal|logical
logo|logo
lollypop|lollypop
lombardracrally|lombardracrally
loom|loom
loopz|loopz
lordsofchaos|lordsofchaosdatadisk
lordsofdoom|lordsofdoom
lordsoftherealm|lordsoftherealm
lordsoftherisingsun|lordsoftherisingsun
lordsoftime|lordsoftime
lordsofwar|lordsofwar
lorna|lorna
lostdutchmanmine|lostdutchmanmine
lostinmine|lostinmine
lostpatrol|lostpatrol
lostvikings|lostvikings
lotharmatthausdieinteraktivefussballsimulation|lotharmatthausdieinteraktivefussballsimulation
lotusespritturbochallenge|lotus
lotusiiitheultimatechallenge|lotus3
lotusturbochallenge2|lotus2
lunarc|lunarc
lupoalberto|lupoalberto
lureofthetemptress|lureofthetemptress
luxor|luxor
m1tankplatoon|m1tankplatoon
mach3|mach3
madprofessormariarti|madprofessormariarti
madshow|madshow
madtv|madtv
mafdetandthebookofthedead|mafdetandthebookofthedead
magicboy|magicboy
magicfly|magicfly
magician|magician
magicjohnsonsbasketball|magicjohnsonsbasketball
magicjohnsonsfastbreak|magicjohnsonsfastbreak
magiclanddizzy|magiclanddizzy
magiclines|magiclines
magicmarble|magicmarble
magicpockets|magicpockets
magnatron|magnatron
majormotion|majormotion
manchesterunitedeurope|manchesterunitedeurope20
manchesterunitedeurope|manchesterunitedeurope21
manchesterunitedeurope|manchesterunitedeurope23
manchesterunitedpremierleaguechampions199495seasondatadisk|manchesterunitedplcdatadisks
manchesterunitedpremierleaguechampions|manchesterunitedplc
manchesterunitedthedouble|manchesterunitedthedouble
manchesterunited|manchesterunited
manfromthecouncil|manfromthecouncil
manhattandealers|manhattandealers
manhunter2sanfrancisco|manhunter2
manhunternewyork|manhunter
maniacmansion|maniacmansion
maniax|maniax
manicminer|manicminerv050121116lha
manix|manix
manoirdemortvielle,le|manoirdemortvielle
marblemadness|marblemadness
mariaschristmasbox|mariasxmasbox
marvinsmarvellousadventure|marvinsmarvellousadventure
masteraxethegenesisofmysterx|masteraxe
masterblaster|masterblaster
masterblazer|masterblazer
matchoftheday|matchoftheday
mathwizard|mathwizard
matrixmarauders|matrixmarauders
maupitiisland|maupitiisland
maxrally|maxrally
maya|maya
maydaysquadheroes|maydaysquadheroes
mcdonaldland|mcdonaldland
meanarenas|meanarenas
meanmachine|meanmachine
meanstreets|meanstreets
megaballv40|megaball
megalomania|megalomania
megamotion|megamotion
megaphoenix|megaphoenix
megatraveller1thezhodaniconspiracy|megatraveller1
megatwins|megatwins
megatyphoon|megatyphoon
menace|menace
mentalimagegamedisk1|mentalimage1
mentalimagegamedisk2|mentalimage2
mentor|mentor
mercenaryescapefromtarg+thesecondcity|mercenary
mercenaryiiithedioncrisis|mercenary3
mercs|mercs
mervthemerciless|mervthemerciless
metallaw|metallaw
metalmasters|metalmasters
metalmutant|metalmutant
metalwarrior|metalwarrior
mftanks|mftanks
miamichase|miamichase
mickey123lanniversairesurprise|mickey123anniversairesurprise
mickeyabcunejourneealafete|mickeyabcunejourneealafete
mickeyjeudememoire|mickeyjeudememoire
mickeymousethecomputergame|mickeymousethecomputergame
mickeys123sthebigsurpriseparty|mickeypuzzlesanimes
mickeysabcsadayatthefair|mickeysabcs
mickeysjigsawpuzzles|mickeysjigsawpuzzles
mickeysmemorychallenge|mickeysmemorychallenge
microbes|microbes
micromachines|micromachines
microproseformulaonegrandprix|formulaonegrandprix
microprosegolf|microprosegolf
microprosesoccer|microprosesoccer
midnightresistance|midnightresistance
midwinteriiflamesoffreedom|midwinter2
midwinter|midwinter
mig29fulcrum|mig29fulcrum
mig29msuperfulcrum|mig29msuperfulcrum
mig29sovietfighter|mig29sovietfighter
mightandmagiciigatestoanotherworld|mightmagic2
mightandmagiciiidieinselnvonterra|mightmagic3
mightandmagiciiiislesofterra|mightmagic3
mightybombjack|mightybombjack
mikereadscomputerpopquiz|mikereadscomputerpopquiz
mikromortaltennis|mikromortaltennis
milleniumreturntoearth|millenium
millennium22|millennium22
mindbender|mindbender
mindfighter|mindfighter
mindroll|mindroll
mindshadow|mindshadow
mindwalker|mindwalker
minigolfplus|minigolfplus
minigolf|minigolf
minskiesfurballs|minskies
minskiestheabduction|minskies
misjaharoldazaginionywsystemie|misjaharolda
missilesoverxerion|missilesoverxerion
missionelevator|missionelevator
moebiustheorbofcelestialharmony|moebius
monkeyisland2lechucksrevenge|monkeyisland2
monsterbusiness|monsterbusiness
montypythonsflyingcircus|montypythonsflyingcircus
moochies|moochies
moonblaster|moonblaster
moonfall|moonfall
moonshineracers|moonshineracers
moonstoneaharddaysknight|moonstone
moonwalker|moonwalker
morph|morph
mortalkombatii|mortalkombat2
mortalkombat|mortalkombat
mortonstrikesback|mortonstrikesback
mortvillemanor|mortvillemanor
motoerhead|motorhead
motorbikemadness|motorbikemadness
motormassacre|motormassacre
mot|mot
mousequest|mousequest
mousetrap|mousetrap
mrblobby|mrblobby
mrdorunrun|mrdorunrun
mrheli|mrheli
mrnutzhoppinmad|mrnutz
mudsmeanuglydirtysport|muds
multiplayersoccermanager|multiplayersoccermanager
munsters|munsters
murdersinspace|murdersinspace
murder|murder
mysteriousworlds|mysteriousworlds
mysteryofthemummy|mysteryofthemummy
mystical|mystical
mythhistoryinthemaking|myth
myth|myth
nam19651975|nam19651975
narcopolice|narcopolice
narc|narc
nathannever|nathannever
naughtyones|naughtyones
navymoves|navymoves
navyseals|navyseals
nebulus2pogoagogo|nebulus2
nebulus|nebulus
necronom|necronom
neighbours|neighbours
netherworld|netherworld
neuromancer|neuromancer
neuronics|neuronics
neverendingstoryiithearcadegame|neverendingstory2
nevermind|nevermind
newyearlemmings199192|lemmingsnewyear9192
newyorkwarriors|newyorkwarriors
newzealandstory|newzealandstory
nibbynibble|nibbynibble
nickfaldoschampionshipgolf|nickfaldoschampionshipgolf
nickyboom|nickyboom
nickyii|nicky2
nigelmansellsgrandprix|nigelmansellsgrandprix
nigelmansellsworldchampionship|nigelmansellsworldchampionship
nightbreedtheactiongame|nightbreedaction
nightbreedtheinteractivemovie|nightbreedmovie
nightdawn|nightdawn
nighthawkf117astealthfighter20|f117anighthawk
nighthunter|nighthunter
nightshift|nightshift
nildieuvivant|nildieuvivant
ninjamission|ninjamission
ninjarabbits|ninjarabbits
ninjaremix|ninjaremix
ninjaspirit|ninjaspirit
ninjawarriors|ninjawarriors
nipponsafesinc|nipponsafesinc
nitroboostchallenge|nitroboostchallenge
nitro|nitro
nobbytheaardvark|nobbytheaardvark
nobuddiesland|nobuddiesland
noexcuses|noexcusesv080112456lha
noexit|noexit
northseainferno|northseainferno
northsouth|northandsouth
nosecondprize|nosecondprize
notveryfestivefodder|notveryfestivefodder
nova9thereturnofgirdraxon|nova9
nuclearwar|nuclearwar
nucleus|nucleus
oath|oath
obitus|obitus
obliterator|obliterator
oblivion|oblivion
obsession|obsession
odyssey|odyssey
offshorewarrior|offshorewarrior
ogre|ogre
og|og
ohnomorelemmings|ohnomorelemmings
oilimperium|oilimperium
oktagon|oktagon
omega|omega
omnicronconspiracy|omnicronconspiracy
oneonone|oneonone
onestepbeyond|onestepbeyond
onetoonematch|onetoonematch
onsafari|safariguns
onslaught|onslaught
ooopsup|ooopsup
oozealsdiegeistermuerbewurden|ooze
oozecreepynites|ooze
operationcleanstreets|operationcleanstreets
operationcombatiibyland,seaandair|operationcombat2
operationfirestorm|operationfirestorm
operationharrier|operationharrier
operationjupiter|operationjupiter
operationneptune|operationneptune
operationstealth|operationstealth
operationthunderbolt|operationthunderbolt
operationwolf|operationwolf
orbitaldestroyer|orbitaldestroyer
orientalgames|orientalgames
orkattackthereturn|orkattackthereturn
ork|ork
oscar|oscar
oswaldoftheicefloes|oswaldoftheicefloes
outofthisworld|outofthisworld
outruneuropa|outruneuropa
outrun|outrun
outzone|outzone
overdrive|overdrive
overkill|overkill
overlander|overlander
overlord|overlord
overthenet|overthenet
oxxonian|oxxonian
p47thunderbolt|p47thunderbolt
pacificislands|pacificislands
pacland|pacland
pacman87|pacman87
pacmania|pacmania
paladinii|paladin2
paladin|paladin
pandora|pandora
pango|pango
pang|pang
panzakickboxing|panzakickboxing
paperboy2|paperboy2
paperboy|paperboy
paradiselost|paradiselost
paradroid90|paradroid90v040111mb0692lha
paradroid90|paradroid90v04011512kb0692lha
paraglidingsimulation|paraglidingsimulation
paramax|paramax
paranoiacomplex|paranoiacomplex
parasolstarsrainbowislands2|parasolstars
passingshot|passingshot
patrician|patrician
patrizier,der|patrizier
pawn|pawn
pegasus|pegasus
penthousehotnumbersdeluxe|penthousehotnumbersdeluxe
penthousehotnumbers|penthousehotnumbers
perihelion|perihelion
persiangulfinferno|persiangulfinferno
personalnightmare|personalnightmare
peterbeardsleysinternationalfootball|peterbeardsleysinternationalfootball
peterschmeichelsoccer|peterschmeichelsoccer
pgaeuropeantour|pgaeuropeantour
pgatourgolftournamentcoursedisk|pgatourgolftournamentcoursedisk
pgatourgolf|pgatourgolf
phalanx|phalanx
phantasieiiithewrathofnikademus|phantasie3
phantasie|phantasie
phantomfighter|phantomfighter
pharaohscurse|pharaohscurse
pharaohsmatch|pharaohsmatch
phobia|phobia
photonstorm|photonstorm
picknpile|picknpile
pierrelechefisouttolunch|pierrelechefisouttolunch
pinballdreams|pinballdreams
pinballfantasies|pinballfantasies
pinballhazard|pinballhazard
pinballillusions|pinballillusions
pinballmagic|pinballmagic
pinballmania|pinballmania
pinballprelude|pinballprelude
pinballwizard|pinballwizard
pinkie|pinkie
pinkpanther|pinkpanther
pinomania|pinomania
pipedream|pipedream
pipeline|pipeline
pipemania|pipemania
piratesgold|piratesgold
pirates|pirates
pitfighter|pitfighter
pixiedixiefeaturingmrjinks|pixiedixie
pizzaconnection|pizzaconnection
plague|plague
plan9fromouterspace|plan9fromouterspace
platoon|platoon
playermanager2extrathechaseforglory|playermanager2extra
playermanager2|playermanager2
playermanager|playermanager
playroomlachambredepeppy|playroom
plotting|plotting
plutos|plutos
pod|pod
pokernightsteresapersonally|pokernights
policequest2thevengeance|policequest2
policequest3thekindred|policequest3
policequestinpursuitofthedeathangel|policequest
pong|pong
pool|pool
popeye2|popeye2
popeye|realpopeye
populous+|populousdatadisks
populousiithechallengegames|populous2challengegames
populousiitrialsoftheolympiangods|populous2
populousworldeditor|populousworldeditor
populous|populous
portal|portal
portesdutemps,les|portesdutemps
portsofcall|portsofcall
postmanpat|postmanpat
powerdrift|powerdrift
powerdrive|powerdrive
powerdrome|powerdrome
powermongerww1edition|powermongerww1edition
powermonger|powermonger
powerpinball|powerpinball
powerplaydasspieldergötter|powerplay
powerplayeljuegodelosdioses|powerplay
powerplaylejeudesdieux|powerplay
powerplaythegameofthegods|powerplay
powerstyx|powerstyx
power|power
pow|pow
pphammerandhispneumaticweapon|pphammer
prawokrwi|prawokrwi
predator2|predator2
predator|predator
prehistorictale|prehistorictale
prehistorik|prehistorik
premiere|premiere
premiermanager2thenewseason|premiermanager2
premiermanager3deluxe|premiermanager3deluxe
premiermanager3|premiermanager3
premiermanager|premiermanager
primalrage|primalrage
primemover|primemover
princeofpersia|princedeperse
princeofpersia|princeofpersia
prince|prince
prison|prison
proboxingsimulator|proboxingsimulator
profezia|profezia
projectxspecialedition93|projectxse
projectxspecialedition|projectxse
projectx|projectx
projectx|projectxbonuslevel
projectx|projectxv2
projectyle|projectyle
prophecyithevikingchild|prophecy1vikingchild
propowerboatsimulator|propowerboatsimulator
prosoccer2190|prosoccer2190
prospectorinthemazesofxor|prospectorinthemazesofxor
protennissimulator|protennissimulator
protennistour2|protennistour2
protennistour|protennistour
psyborg|psyborg
psychokiller|psychokiller
psychosanta|psychosanta
pubtriviasimulator|pubtriviasimulator
puffyssaga|puffyssaga
puggsy|puggsy
purplesaturnday|purplesaturnday
pushover|pushover
puttysquad|puttysquad
putty|putty
puzznic|puzznic
pyramax|pyramax
qbic|qbic
qix|qix
quadralien|quadralien
quadrel|quadrel
quartz|quartz
questforgloryiitrialbyfire|questforglory2
questforthetimebird|questforthetimebird
questionofsport|questionofsport
questofagravain|questofagravain
questronii|questron2
quetedeloiseaudutemps,la|quetedeloiseaudutemp
quiksilverpinballsimulator|quicksilverpinball
quikthethunderrabbit|quikthethunderrabbit
qwak|qwak
racedrivin|racedrivin
rackneysisland|rackneysisland
racter|racter
raffles|raffles
ragev20|ragev2
rage|ragev1
raiders|raiders
raider|raider
railroadtycoon|railroadtycoon
rainbowislands|rainbowislands
rainbowwarrior|rainbowwarrior
rallychampionships|rallychampionships
rallycrosschallenge|rallycrosschallenge
ramboiii|rambo3
rampage|rampage
rampart|rampart
ranx|ranx
rattrap|rattrap
ra|curseofra
rbitwobaseball|rbi2baseball
readrhyme|readrhyme
realghostbusters|realghostbusters
realmsofarkaniabladeofdestiny|realmsofarkania
realms|realms
rebellion|rebellion
redbaron|redbaron
redheat|redheat
redlightning|redlightning
redstormrising|redstormrising
redzone|redzone
reflexitypinballchallenge|reflexity
renaissance|renaissance
renegadeiii|renegade3
renegades|renegades
renegade|renegade
resolution101|resolution101
returntoatlantis|returntoatlantis
returntogenesis|returntogenesis
reunion|reunion
revelation|revelation
revengeofdefender|revengeofdefender
revengeofthemutantcamelsii|revengeofthemutantcamels2
revengeofthemutantcamels|revengeofthemutantcamels
rickdangerous2|rickdangerous2
rickdangerous2½|rickdangerous25
rickdangerous|rickdangerous
ringside|ringside
ringsofmedusagold|ringsofmedusagold
ringsofmedusa|ringsofmedusa
riseofthedragon|riseofthedragon
riseoftherobots|riseoftherobots
risktheworldconquestgame|risk
riskywoods|riskywoods
roadblasters|roadblasters
roadkill|roadkill
roadrash|roadrash
roadwareuropa|roadwareuropa
roadwars|roadwars
robbeary|robbeary
robinhoodlegendquest|robinhoodlegendquest
robinsonsrequiem|robinsonsrequiem
robocop2|robocop2
robocop3d|robocop3
robocop3|robocop3
robocop|robocop
robosport|robosport
roboter|roboter
robotnic|robotnic
robotreadersaesopsfables|robotreaderaesopsfables
robotreaderschickenlittle|robotreaderchickenlittle
robozone|robozone
rockchallenge|rockchallenge
rocketranger|rocketranger
rockford|rockford
rocknroll|rocknroll
rockstaratemyhamster|rockstaratemyhamsterv08011lha
rockstarnevertrustrottentangerines|rockstarnevertrustrottentangerines
rockstar|rockstar
rodland|rodland
rodyetmasticoiii|rodymastico3
rodyetmasticoii|rodymastico2
rodyetmastico|rodymastico
rodynoël|rodymastico4rodynoel
rodyundmastico|rodymastico
rodyvi|rodymastico6
rodyv|rodymastico5
roguetheadventuregame|rogue
roguetrooper|roguetrooper
roketz|roketz
rollercoasterrumbler|rollercoasterrumbler
rollingronny|rollingronny
rollordie|rollordie
romead92thepathwaytopower|romead92
rotor|rotor
rotox|rotox
roundthebend|roundthebend
rtypeii|rtype2
rtype|rtype
rubicon|rubicon
ruffandreddyinthespaceadventure|ruffreddyinthespaceadventure
ruffian|ruffian
ruffntumble|ruffntumble
rugbytheworldcup|rugbytheworldcup
runningman|runningman
runthegauntlet|runthegauntlet
rushhour|rushhour
rvfhonda|rvfhonda
rygarthelegendarywarrior|rygar
rüsselsheim|ruesselsheim
sabreteam|sabreteam
safariguns|safariguns
